Unnamed: 0,Job_Title,Job_Description,Predicted_Category,Required_Skills,Education_Required,Experience_Required
10,Database Administrator,richardsontexasunited state bausp4 boeing company currently seeking database administrator join 's richardson texas location responsibility include limited following partner customer gather document requirement produce product specified customer must able work across diverse team software system engineer training development specialist software technician security specialist dynamic high-paced environment must able successfully develop plan establish database performance baseline ; monitoring performance trend identify correct problem ; customizing existing application life project must able assure curriculum integrity security configuration management version control must able collaborate architect technical specialist identify proper hardware software upgrade implementation must able plan install test software upgrade patch must implement database security infrastructure manages user account must work closely project manager database programmer multimedia program develop implement customer ’ learning management system business system development environment must prepare database documentation including standard procedure definition deliverable data dictionary metadata boeing world 's largest aerospace company leading manufacturer commercial airplane defense space security system engineer technician skilled scientist thinker bold innovator dreamer join u build something better customer world typical education/experience technical bachelor 's degree typically 9 year ' related work experience master 's degree typically 7 year ' phd degree typically 4 year ' related work experience equivalent combination education experience technical degree defined four year degree greater mathematic scientific information technology field study basic qualification required position requires active ability obtain u.s. security clearance u government requires u citizenship position requires active top secret clearance security clearance/special program access government access requirement mandatory position much work boeing company classified nature many position require security clearance granting discretion government authority applicant must current top secret security clearance additionally applicant must able obtain program access security clearance upgrade and/or program access request initiated applicant 's acceptance contingent offer filling requisition contingent based applicant 's ability obtain required program access time frame established program management relocation dallas texas authorized appropriate access granted must advanced sql/oracle database design administration knowledge able write script query system generate customer report desired qualification knowledge ibm rational clearcase bnh advisor enterprise ; yes 10 time commercial derivative aircraft individual contributor standard united state ; boeing company,Technology/IT,"['SQL', 'Oracle', 'Database design', 'Administration', 'Script writing', 'Query system', 'Clearcase', 'BNH Advisor Enterprise']","Bachelor's degree, typically 9 years of related work experience; Master's degree, typically 7 years of related work experience; PhD degree, typically 4 years of related work experience; or equivalent combination of education and experience",Typically 9 years of related work experience
11,Machine Learning,"Remote, Any where
2 - 4 years
₹8L - ₹12L / yr (ESOP available)
Skills
TensorFlow
OpenCV
Python
Artificial Neural Network (ANN)
Deep Learning
Image Processing
PyTorch
Amazon Web Services (AWS)
Cloud Computing
computer vision
Job description
ClearQuote app helps assess damages in cars based on images/videos - used by insurers, mobility providers and workshops.

What’s on offer – Opportunity to lead development of a global tech product, competitive pay and stock options

Role
1) Work on identifying and implementing pre-processing of various datasets (images, videos)
2) Identifying / testing the right techniques / deeplearning libraries to use to train the model and infer parts and degree of damage in test data
3) Deploy training and inferencing models on cloud (and edge if required)
4) Work on improving accuracy of detection
5) Based on experience and ability - lead the rest of the computer vision engineering team

Requirements:

1)Experience in Deep learning using Convolutional Neural Networks
2)Sound knowledge of Object detection,Semantic segmentation,Instance segmentation(Faster-RCNN,Single shot multibox detector(SSD),Mask RCNN,Mobile-net)
3)Classic Image processing techniques using OpenCV
4)Proficiency in Python
5)Should be comfortable building ML models on various deep learning and machine learning libraries using tensorflow,keras,scikit-learn,Numpy,etc
6)Familiarity with Amazon Web service( Elastic Cloud Compute(EC2),Amazon Sagemaker) and deployment
7)Must have work experience in image processing, computer vision areas (exposure to other machine learning / deep learning areas a bonus)
8) Experience in working with Pytorch preferred
9) Strong basics in machine learning, computer vision
10) Prior experience in implementing research papers into production models
11) Experience in startup environment is preferred",Technology/IT,"['TensorFlow', 'OpenCV', 'Python', 'Artificial Neural Network (ANN)', 'Deep Learning', 'Image Processing', 'PyTorch', 'Amazon Web Services (AWS)', 'Cloud Computing', 'Convolutional Neural Networks', 'Object detection', 'Semantic segmentation', 'Instance segmentation', 'Faster-RCNN', 'Single shot multibox detector(SSD)', 'Mask RCNN', 'Mobile-net', 'Keras', 'scikit-learn', 'Numpy', 'Elastic Cloud Compute(EC2)', 'Amazon Sagemaker']",Not specified,2 - 4 years
12,Machine Learning,"Excited by Big Data, Machine Learning and Predictive Software? Interested in creating new state-of-the-art solutions using Machine Learning and Data Mining techniques on Terabytes of Data?
At Amazon, we are developing state-of-the-art large-scale Machine Learning Services and Applications on the Cloud involving Terabytes of data. We work on applying predictive technology to a wide spectrum of problems in areas such as Amazon Retail, Seller Services, Customer Service, Alexa, Chatbots and so on. We are looking for talented and experienced Machine Learning Scientists (Masters/Ph.D. in a related area preferred) who can apply innovative Machine Learning techniques to real-world e-Commerce problems. You will get to work in a team dedicated to advancing Machine Learning technology at Amazon and converting it to business-impacting solutions.
Major responsibilities
- Use machine learning, data mining and statistical techniques to create new, scalable solutions for business problems
- Analyze and extract relevant information from large amounts of Amazons historical business data to help automate and optimize key processes
- Design, develop and evaluate highly innovative models for predictive learning
- Establish scalable, efficient, automated processes for large scale data analyses model development, model validation and model implementation
- Research and implement novel machine learning and statistical approaches




Basic Qualifications

- A Masters and/or PhD in Computer Science, Machine Learning, Operational research, Statistics or in a highly quantitative field
- Experience in predictive modelling and analysis, predictive software development
- Strong problem-solving ability
- Good skills with Java/Scala or C++, Perl/Python (or similar scripting language)
- Experience in using R, Matlab, or any other statistical software
- Strong communication and data presentation skills



Preferred Qualifications

- Experience handling gigabyte and terabyte size datasets
- Experience working with distributed systems and grid computing
- Knowledge of the latest and state of the art ML technology
- Publications or presentation in recognized Machine Learning and Data Mining journals/conferences",Technology/IT,"['Java', 'Scala', 'C++', 'Perl', 'Python', 'R', 'Matlab']","Masters and/or PhD in Computer Science, Machine Learning, Operational research, Statistics or in a highly quantitative field","Experience in predictive modelling and analysis, predictive software development"
13,Software Engineer,"As a member of our Software Engineering Group you will dive head-first into creating innovative solutions that advance businesses and careers. You'll join an inspiring and curious team of technologists dedicated to improving the design, analytics, development, coding, testing and application programming that goes into creating high quality software and new products. You'll be tasked with keeping the team and other key stakeholders up to speed on the progress of what's being developed. Coming in with an understanding of the importance of end-to-end software development-such as Agile frameworks-is key. And best of all, you'll be working with and sharing ideas, information and innovation with our global team of technologists from all over the world. JPMorgan Chase & Co. is an equal opportunity employer and affirmative action employer Disability/Veteran

This role requires a wide variety of strengths and capabilities, including:
Advanced knowledge of application, data and infrastructure architecture disciplines
Understanding of architecture and design across all systems
Working proficiency in developmental toolsets
Ability to collaborate with high-performing teams and individuals throughout the firm to accomplish common goals
Proficiency in one or more general purpose programming languages
Understanding of software skills such as business analysis, development, maintenance and software improvement
Corporate Technology

The Corporate Technology (CT) organization develops applications and provides technology support for corporate functions across JPMorgan Chase, including Global Finance, Corporate Treasury, Risk Management, Human Resources, Compliance, Legal, and all functions within the Corporate Administrative Office (CAO).

CT teams are aligned with corporate partners' evolving technology needs and the firm's ever expanding technology controls agenda.

A top CT priority is purpose-building scalable corporate systems. Teams focus is on:
Responding to the evolving regulatory environment and helping to meet the firm's regulatory commitments by addressing internal and external commitments
Advancing the firm's Roadmap programs -- Single Sourcing of data, Architecture Convergence, and Rationalization of Application Portfolio and Platforms
Adopting industry leading technologies to support best-in-class business capabilities for high performance computing and data storage solutions
Driving innovation across the firm's corporate technology portfolio, increasing efficiencies through process automation and Agile application development, with an emphasis on user experience and shorter development cycles
Investing in security & controls for cyber, access/entitlements uplift, data protection and application resiliency
Controls & Operational Risk Technology supports - identification, assessment, and prioritization of risks followed by coordinated application of resources to minimize, monitor, and control the probability and/or impact of events.

Tech at JPMC:

When you work at JPMorgan Chase & Co., you're not just working at a global financial institution. You're an integral part of one of the world's biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world.

Key Responsibilities
Design and Development of key functionality within the application
Carry out design reviews/code reviews at agreed points throughout the project life cycle
Work closely with the vendor development team to monitor the design/development undertaken by them
Hands on design and development of technical artifacts
Participate in technical reviews; define/Improve processes on configuration management, deployment and resiliency planning for the application.
Qualifications - Internal:

Competencies:

Essential:
HTML5, CSS 3.0, Bootstrap, Angular 8.x+, JavaScript, JQuery and comparable languages
Proficient with Angular framework and hands on Angular 8+ version.
Proficient with Unit testing with Jasmine or protractor.
Knowledge and of using and building Restful services
Proficient with Java and hands on Java 8+ version.
Exposure to micro-services pattern is must
Testing tools - Jasmine/ Karma/ protractor
Version Control - GIT
Strong understanding of design principles and design patterns is a must.
Should be able to set standards, define templates etc. to promote reusability and establish standards.
Ability to mentor team and collaborate with distributed teams is a must.
Must have an eye for pixel perfection, attention to detail along with strong hands on experience.
Interact with UX designers, product owners and produce quick prototypes to seek feedback.
Must be able to work in fast paced environment and be able to adapt to changing requirements.
Agile experience is a must.
Conduct testing of completed applications, websites and software to Assess user experience
Automated, Manual, Progression/Regression and Exploratory testing experience and deployment validation support.
Test Management, Defect Management and reporting/tracking expertise. Jenkins, Ci/CD, Selenium.
Essential Experience:
5 - 8 years' work experience
Exposure to technology development projects and the full technology development lifecycle
Excellent Communication and Inter-personal skills, both with business customers and with fellow IT professionals (Business Analysts, Project Managers and Developers).
Strong problem-solving skills
A delivery focused approach to work and the ability to work without direction
Ability to multi-task
Ability to work to deadlines
Ability to work effectively in a collaborative environment to create top-performing interfaces
Closing Statement

At JPMorgan Chase & Co. we value the unique skills of every employee, and we're building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you're looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you.JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.",Technology/IT,"['HTML5', 'CSS 3.0', 'Bootstrap', 'Angular 8.x+', 'JavaScript', 'JQuery', 'Java', 'Jasmine', 'Protractor', 'Karma', 'GIT', 'Restful services', 'Micro-services pattern', 'Selenium', 'Jenkins', 'Ci/CD']",Not specified,5 - 8 years' work experience
14,Software Engineer,"JOB DESCRIPTION

Job Title: Software Engineer I

SUMMARY

The Software Engineer I is responsible to design, code, and/or configure solutions for moderate complexity Agile stories, as well as writing automated unit and integration-level tests.

ESSENTIAL JOB FUNCTIONS/RESPONSIBILITIES
Designs, codes, and/or configures solutions for moderate complexity Agile stories with some guidance from more a senior software engineer.
Debugs and resolves moderate complexity software bugs or issues, working independently, and finds the real root cause and provides a fix without collateral damage.
Writes automated unit and integration-level tests under own direction.
May create or support the creation of a conceptual design/architecture for small scale software solutions with guidance from an architect or more senior developer.
May provide guidance and mentoring to more junior software engineers.
Follows development standards and effectively demonstrates technical solutions to other software engineers in code reviews.
Assists in making source code management decisions for one or more teams.
Performs source code management tasks without specific guidance required from other team members.
Performs other related duties and activities as required.
Experience developing in cloud environments like Azure, Google, AWS a plus.
Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.

QUALIFICATIONS/REQUIREMENTS

Education and Work Experience:
Bachelor’s degree or higher education level, or its foreign equivalent, in Computer Science, Computer Information Sciences, and/or related field
Total Work Experience: 6+ years (software development), 4 years minimum,
Product Experience: 2 years minimum, 4+ years preferred
Domain Experience: 2 years minimum, 4+ years preferred
Specialized Knowledge, Skills, and/or Abilities:
Expert in Object-oriented design, Java or .NET development, Relational OLTP queries and Relational database design
Capable of XML/XSLT document design, JavaScript development, HTML5 & CSS
Ability to manage to deadlines, communicate in a team, and operate independently with guidance
Understands how to estimate, analyze, and the Software Product Development Lifecycle with Agile methodology
Other Requirements:
Work Authorization: Legally authorized to work in the country of the job location.
Physical: Exerting up to 10 pounds of force occasionally and/or negligible amount of force frequently or constantly to lift, carry, push, pull or otherwise move objects, including the human body. Sedentary work involves sitting most of the time. Jobs are sedentary if walking and standing are required only occasionally and all other sedentary criteria are met",Others,[],Not specified,Not specified
15,Java Developer,"Overview:

Western National is seeking a highly collaborative and influential front-end developer to join our team in developing exceptional experiences. This exceptional opportunity offers someone a chance to contribute to a highly impactful organizational initiative that will transform how our customers interact with our company.

The ideal candidate has 5+ years of Software Development experience with strong experience in modern Javascript (ES6+) and Node. The candidate would ideally have experience with Vue or similar web frameworks, and there is a high preference for Java experience. Come join our team for opportunities to grow your skills and be a part of something truly transformative.

Responsibilities:
Work in an agile environment with other IT teams.
Collaborate with business partners to implement new features.
Mentor Jr level team members.
Estimate effort and assist in prioritization of business feature requests.
Identify and resolve software application issues.
Prepare technical design specifications, flow charts, and data flow diagrams.
Develop and execute unit tests.
Implement software solutions based on business requirements.
Identify and implement process enhancements and automation.
Regular interaction with business partners across organization.
Occasional interaction with external vendors.
Qualifications:
5+ years of software development experience.
Proficient in modern Javascript (ES6+) and Node.
Strong experience with HTML5 / CSS3 / SCSS.
Moderate to strong experience with Vue or similar web frameworks (React, Angular).
Moderate to strong experience developing or consuming REST web services.
Moderate to strong experience developing with Java is helpful.
Experience with Javascript testing frameworks (Jest, Mocha, etc.).
Experience with build tools such as npm and webpack.
Experience with version control (SVN or Git).
Experience with Dev Ops and/or continuous integration (CI) tools (Jenkins) is useful.
Experience in an agile environment.
Strong verbal and written communication skills.
Strong analytical and problem-solving skills.
B.S. Degree in Computer Science or equivalent experience.

Western National Insurance is a growing, A+ rated (A.M. Best) group of property-and-casualty insurance companies serving individuals, families, and businesses in 20 states across the Midwestern and Western U.S. plus Alaska. Currently ranked as the 57th largest private company by revenue in Minnesota (Minneapolis-St. Paul Business Journal), Western National has consistently earned accolades as an employer of choice, including as a Star Tribune Top Workplace (2011 – 2016), and previously as a recipient of the Minnesota Business Ethics Award, as a Minnesota Business Magazine Top 100 Workplace, as a Principal Financial “10 Best” Company, and as a finalist for the Alfred P. Sloan “When Work Works” Award.

Western National is known as “The Relationship Company®”, and caring for employees is a key part of that relationship commitment. Western National offers competitive pay, advancement opportunities, a generous benefits package, a robust wellbeing program, and a healthy work/life balance (including three weeks of paid time off, nine paid holidays, and eight hours of paid volunteer time as a starting point for new employees). These attributes are just some of the reasons why nearly half of our employees choose to stay on the Western National team for 10 years or more.

Our benefits package includes:

401(k) company match
Medical insurance – We offer affordable (thanks to a strong employer subsidy), above-average coverage and the choice of either a traditional Preferred Provider Organization (PPO) option OR a High-Deductible Health Plan (HDHP) option
Western Wellbeing program – Including on-site massage, yoga classes, salad and healthy snack days, sit/stand workstations, nutrition seminars, and more
100% company-paid tuition reimbursement for approved, job-relevant coursework
Discounts on automobile and homeowner's insurance
Other standard employee benefits – Including dental insurance, vision benefits, life insurance, disability insurance, and more

We could continue to list the things that we think make Western National a great place to work, but why not hear it instead from actual current and former employees? Here are some quotes that Western National employees have posted to the Glassdoor public review site:

“Excellent company which prioritizes customer service and community service.”
“Just a great place to come to work, and stay for a career. I love the personal touch from [the] executive suite on down. [The] CEO is on a first-name basis with everyone.”
“Above-average benefits, especially on the health insurance front.”
“I have felt welcomed here and I feel like the Senior Management cares.”

(For more reviews from current and former Western National employees, you can visit the company’s Glassdoor page here: http://bit.ly/2qXtl4A .)
**Western National is an equal opportunity employer. All qualified applicants will receive consideration for employment.***",Others,[],Not specified,Not specified
16,Wordpress Developer,"Experience: 2-5 years

Job Location:- Aurangabad/Pune

Vacancies:- 02

Note: Fresher Do Not Apply

Job Description

Looking for experienced developers who are passionate to work with an IT / Software Development company.

Basic Requirements:
Having prior working experience on WordPress
Should be proficient verbally and written communication skills.
Should be capable of writing an efficient code using best software development with good coding practices.
Able to integrate data from various back-end services and databases.
Able to integrate with external application ERP/CRM
Should be capable of working on Payment gateway integration on multiple platforms
Should have adequate knowledge of relational database systems and Object Oriented Programming.
Hands on experience required upon web applications including Security and session management.
Capable of self- upgrading upon emerging new technologies and apply them into operations and activities.
Able to deliver projects before deadlines.
Able to work on multiple Frameworks such as Zend etc. would be an added advantage
Responsibilities and Duties
Should be able to manage on handling Multiple Projects
Manage project independently
Manage clients
Able to handle the team
Deliver projects before deadlines.
Required Experience, Skills and Qualifications

• WordPress
• Plugin-in development
• PHP
• HTML/HTML5
• Javascript/jQuery
• Bootstrap
• MySQL

Qualification:
• UG: B.Sc (CS/CSC/IT), BCA, BCS, BE, B.Tech (CS/CSE/IT)
• M.Sc (CS/CSC/IT), MCA, MCS, ME, M.Tech (CS/CSE/IT)",Others,[],Not specified,Not specified
17,iOS Developer,"Job Code : ID190704

Job Description:
Experience: 1 to 2 years in iOS Development
Native iOS development
Hybrid app development with PhoneGap, Ionic, Titanium will be an advantage
Database knowledge is must
Understanding about Requirement Gathering - Client interactions
Good communication skills
Qualification: BE( Computers/ Information Technology), MCA, BCA, BSc (Computer Science)
Location: Margao Goa",Others,[],Not specified,Not specified
18,Database Administrator,job description summary highly skilled technical role ultimate responsibility support hpe oracle database environment providing technical expertise designing building tuning installing configuring troubleshooting database middleware technology provide technical leadership large complex database build migration effort work closely engineer architect project program manager define design strategy better data management infrastructure process role responsible developing documenting maintaining logical physical database model ; ensuring design comply standard guideline procedure ; research analyze impact proposed change ensure corporate data effectively implemented managed secured provide consulting support application development team well dba 's complex integrated system including distributed solution provide analysis guidance migration consolidation effort job description position provide support architecture planning installation monitoring configuration administration testing evaluating troubleshooting oracle database instance collaborate application infrastructure team adherence best practice process standardization key responsibility position monitor ensure high availability environment quickly respond diagnose problem utilize leverage new feature underlying technology work closely enterprise database manager.. another area responsibility position provide leadership role create awareness guidance application development business team migrate consolidate re-platform various application oracle no-sql technology work minimal supervision receives general direction enterprise database manager responsibility design backup/recovery procedure ensure validity develop archival strategy conforms hpe security audit guideline develop execute appropriate delivery team model e.g resource skill process management meet current projected needs/constraints support implementation new release dbms software ; plan implement new feature appropriate mentor le experienced dba 's application developer ensure adequate 24x7 support develop “ ” procedure deal incident perform database migration merging consolidation needed participate change incident management procedure problem resolution analyze database implementation method ensure line company policy proactively monitor operation log optimize system performance using available monitoring db optimization tool additional job description experience oracle data guard standby/failover administration highly skilled oracle 10g/11g/12c database administration hand experience query tuning performance optimization db ops automation alert monitoring backup restore hand experience data modeling design knowledgeable oracle rac & asm administration knowledgeable pl/sql procedure package development experience managing high performing team database ability prioritize workload work effectively pressure high degree independence must versatile flexible proactive resolving technical issue ability handle diverse situation rapidly changing priority deadline experience setting database disaster recovery site plus excellent interpersonal communication skill exposure sql server no-sql database technology plus education professional experience bachelor ’ degree computer science information technology related field least 10+ year hand work lead support production database previous leadership team management experience strong organizational time management skill communicate/work effectively team environment effective meeting deadline li-mf1 hewlett packard enterprise eeo f/m/protected veteran/ individual disability hpe comply applicable law related use arrest conviction record including san francisco fair chance ordinance similar law consider employment qualified applicant criminal history,Others,[],Not specified,Not specified
20,DevOps Engineer,"Job Summary

Our mission at Style Theory is to build a sustainable model for fashion consumption. We rely on the latest and best technology to build apps and services to ensure the women of Style Theory an intimate relationship with their “infinite wardrobe”. We are also constantly improving the experience both on the apps and the services through a series of iterations because we constantly listen to the feedback from the women of Style Theory, as well as ideas that we brainstormed to help achieve our mission above. With your help, we can achieve it even faster!

We are looking for an experienced Senior DevOps Engineer to continue to design and hands-on implement our cloud-based micro-service infrastructure. Ideally, they would have experience in
supporting the large scale and highly critical applications. Your tasks will be designing, developing, and improving our next-generation infrastructure. Migrating applications to the new infrastructure with proper architecture design and working closely with the Dev and QA teams, resolve and automate production issues, while also providing rostered on-call support.

Responsibilities
Deploying, automating, maintaining, and managing cloud-based production system to
ensure the availability, performance, scalability, and security of production systems.
(AWS & GCP)
Build, release, and configuration management of production systems
System troubleshooting and problem-solving across platform and application domains.
Suggesting architecture improvements, recommending process improvements.
Hands on for critical parts of development, testing, deployment, and production
automation and tools to ensure everything is built according to the best practices
Carry out your on-call duties as part of a critical team handling our cloud
infrastructure performance and availability
Mentor other engineers, define our technical culture and help build a fast-growing
team.
Requirements
At least 3 years of experience in a similar role.
Design, operation, and maintenance of robust, large-scale distributed systems
Experience in Linux Environment.
Good understanding and practical experience with configuration management (e.g.
Ansible, Chef, and Puppet) and Infrastructure as Code such as Terraform.
Experience with automation from simple shell/python scripting to more complex
software engineering solutions.
Strong background in either AWS or GCP is a must.
Problem-solving ability to analyze and resolve complex infrastructure issues by using
Monitoring tools (Datadog, Prometheus, Grafana).
Kubernetes experience is a must!. (EKS, GKE, Openshift)
Strong experience using CI/CD tools such as Jenkins, GitLab CI, etc., or Java based
integration tools such as Groovy. It would be great to know how to implement Jenkins
configuration, CI pipelines via code, etc.
Experience in on or more of Bash, Go, Python, JS.
Highly accountable and takes ownership. Outstanding work ethic, high-integrity, team
player, and a lifelong learner

Nice to have
Experienced with Data Engineering services like Lake Formation, Glue, Athena, Redshift,
Sagemaker, Kineses, Kafka, BigQuery etc.
Experienced with SQL and NoSQL Databases like DynamoDB, RDS, PostgreSQL,
ElasticSearch, MongoDB, etc.",Others,[],Not specified,Not specified
21,Database Administrator,country place mortgage founded 1995 subsidiary cavco industry inc. national lender providing wide variety financing option purchaser manufactured home cavco industry inc. wa founded 1965 fast growing publicly traded company disrupting manufactured home industry headquartered phoenix arizona cavco leading designer builder manufactured home modular home commercial building park model rv ’ vacation cabin company ’ insurance group standard casualty offer wide range insurance product manufactured home owner country place mortgage seller servicer mortgage fannie mae freddie mac fha authorized lender ginnie mae mortgage-backed security issuer employee biggest asset play integral role meeting need customer come part team offering many opportunity utilize talent atmosphere support encourages realize full potential come share helping people realize dream opportunity home ! come share story part building something amazing ! country place mortgage currently looking database administrator work office located addison tx responsible designing building administering maintaining oracle database must able perform daily administration database system prevent outage plan optimized system resource utilization position contribute architectural direction provide expertise design performance database structure assist database performance tuning database capacity issue replication distributed data issue strong understanding sql standard diagnostics performance tuning must responsibility build support oracle database linux based system perform evaluation modification integration function associated vendor supplied database software ensure business continuity developing implementing highly available database system database recovery plan procedure serve resource le experienced team member escalated issue routine nature support oracle database weblogic qualification bachelor ’ degree comparable industry experience 2+ year oracle database experience experience database support iaa paas preferred in-depth understanding database tool utility well highly developed sql database performance tuning skill knowledge computer hardware san/nas networking verbal written communication skill problem solving skill customer service interpersonal skill ability work independently manage one time loan origination/servicing support experience helpful mandatory _cavco industry committed providing equal employment opportunity without regard race color religion sex sexual orientation gender identity national origin age disability protected status respect recruitment hiring promotion term condition employment disclaimer statement intended describe general nature level work performed associate assigned classification construed exhaustive list responsibility duty skill required personnel classified personnel may required perform duty outside normal responsibility time time needed._,Others,[],Not specified,Not specified
22,Wordpress Developer,"Position: WordPress Developer
Location: Prahladnagar, Ahmedabad
Experience: 4 to 8 Years
Working Timings: 10:00 AM to 7:00 PM

Working Days: Alt Sat Off

WordPress Developer Responsibilities:

· Meeting with clients to discuss website design and function.

· Designing and building the website front-end.

· Creating the website architecture.

· Designing and managing the website back-end including database and server integration.

· Generating WordPress themes and plugins.

· Conducting website performance tests.

· Troubleshooting content issues.

· Conducting WordPress training with the client.

· Monitoring the performance of the live website.

·

WordPress Developer Requirements:

· Bachelor’s degree in Computer Science or a similar field.

· Proven work experience as a WordPress Developer.

· Knowledge of front-end technologies including CSS3, JavaScript, HTML5, and jQuery.

· Knowledge of code versioning tools including Git, Mercurial, and SVN.

· Experience working with debugging tools such as Chrome Inspector and Firebug.

· Good understanding of website architecture and aesthetics.

· Ability to project manage.

· Good communication skills.

Job Type: Full-time

Salary: ₹25,000.00 - ₹70,000.00 per month

Schedule:
Day shift
Experience:
WordPress: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No",Others,[],Not specified,Not specified
23,JavaScript Developer,"MonetizeMore builds industry leading ad technology that is seen by more than 300M people per month. The company has been running for 8 years achieving consistent double digit growth each year with a team of 100+ team members spread across the globe.

MonetizeMore offers location and schedule freedom to every one of its team members. That means that you would have the lifestyle autonomy to choose to work from anywhere in the world, during the time of day you prefer. This new-age work lifestyle would enable you to engineer your ideal lifestyle. Say goodbye to endless commutes, stuffy business attire and the arbitrary 9 – 5 work day. Take your life back into your hands by joining the MonetizeMore team!

The product team is the fastest and most innovative team in the company. Build greenfield technology that is disrupting the ad technology industry. Solve problems that have never been solved before. Join a company culture that replaces constant meetings and interruptions with innovation that continues to break boundaries. Take your skillset to the next level with some of the best minds in the ad technology industry to make a real difference with MonetizeMore.

Responsibilities
The day-to-day work of a MonetizeMore web developer includes:

Developing features or product using: JavaScript, Python/Flask, PostgreSQL, Linux, Docker, Git, Cloud Services and any other new technologies.
Building JavaScript applications capable of tracking and responding to billions of requests per month.
Developing APIs and integrating with 3rd party APIs to automate manual tasks.
Implementing UI facilitating third-party reporting and streamlining ad operations.
Integration of services to maximize ad revenues and maintain strong user experience.
Planning and prototyping new applications.
Defect resolution of existing and new issues.
Unit testing new features to ensure they conform to MonetizeMore’s quality standards and meet requirements.
Code reviews.
Running performance benchmarking tests.
Staying up to date with new trends and advancements in web development and ad tech.
Attending daily stand-up meetings (15 mins) and other Scrum meetings (Every 3 weeks).

Attributes
MonetizeMore web developer attributes include:

Teamwork Attributes:

Collaboration: Working remotely on complex projects necessitates that you work together with your team and share knowledge.
Communication Skills: You are comfortable communicating in English at all levels, have strong spoken and written communication skills and are an active listener.
Teamwork: You value team synergy and are excited about helping your team succeed.
Interpersonal Skills: You are able to get along, work well and coordinate with others.
Conflict Management: As a team, we are proactive in dealing with conflict. You are able to find constructive ways of resolving issues with other team members.

Technical Attributes:

Technology: A MonetizeMore developer is proficient in all stages of web development, from conception to deployment. You are a one-person army, ready and willing to attack any technical challenge that crosses your path
Analytical and Problem Solving Skills: You work hard to understand technical issues and to resolve them in an effective manner.
Detail Orientation: You work on many parts of an application or system at the same time and are able to focus on each detail meticulously.
Initiative: You work well in a team, with little supervision, making well-reasoned and effective technical decisions.
Reliability and Responsibility: You demonstrate reliability at all times. You give reasonable expectations within Agile Scrum framework and work hard and smart to achieve and surpass those expectations. You communicate what you are going to do, then meet that commitment.
Thought Leadership: You analyze MonetizeMore’s tech stack, systems and processes with the goal to iterate on a regular basis. You look for opportunities to improve to increase value to MonetizeMore and suggest them to the team.

If you think you are a good fit to join the MonetizeMore product team, please apply below and give specific reasons what sets you apart. We hire individuals not robots so don’t be afraid to show a little personality ;)

Powered by JazzHR

xC69vHwaZD",Others,[],Not specified,Not specified
